"federal_census_division","province","population","area_km2","population_density_per_square_km"
"Surrey Centre","BC","131670","40.34","3264.1"
"Surrey--Newton","BC","122264","30.03","4071.1"
"Vancouver Centre","BC","126995","11.20","11334.2"
"Vancouver East","BC","118675","21.66","5480.2"
"Vancouver Granville","BC","109799","22.40","4902.5"
"Vancouver Kingsway","BC","108054","15.30","7063.2"
"Vancouver Quadra","BC","109328","40.29","2713.3"
"Vancouver South","BC","109339","20.69","5284.1"
"Victoria","BC","123482","40.26","3067.4"
"West Vancouver--Sunshine Coast--Sea to Sky Country","BC","131206","12990.95","10.1"
"Yukon","YT","40232","472345.44","0.1"
"Northwest Territories","NT","41070","1127711.92","0.0"
"Nunavut","NU","36858","1836993.78","0.0"
